Support Library class,Android X class
android.arch.persistence.room.solver.query.result.RxCallableQueryResultBinder,androidx.room.solver.query.result.RxCallableQueryResultBinder
android.arch.persistence.room.solver.query.result.SingleColumnRowAdapter,androidx.room.solver.query.result.SingleColumnRowAdapter
android.arch.persistence.room.solver.query.result.SingleEntityQueryResultAdapter,androidx.room.solver.query.result.SingleEntityQueryResultAdapter
android.arch.persistence.room.solver.query.result.TransactionWrapper,androidx.room.solver.query.result.TransactionWrapper
android.arch.persistence.room.solver.query.result.TransactionWrapperKt,androidx.room.solver.query.result.TransactionWrapperKt
android.arch.persistence.room.solver.QueryResultBinderProvider,androidx.room.solver.QueryResultBinderProvider
android.arch.persistence.room.solver.TypeAdapterStore,androidx.room.solver.TypeAdapterStore
android.arch.persistence.room.solver.types.BoxedBooleanToBoxedIntConverter,androidx.room.solver.types.BoxedBooleanToBoxedIntConverter
android.arch.persistence.room.solver.types.BoxedPrimitiveColumnTypeAdapter,androidx.room.solver.types.BoxedPrimitiveColumnTypeAdapter
android.arch.persistence.room.solver.types.ByteArrayColumnTypeAdapter,androidx.room.solver.types.ByteArrayColumnTypeAdapter
android.arch.persistence.room.solver.types.ColumnTypeAdapter,androidx.room.solver.types.ColumnTypeAdapter
android.arch.persistence.room.solver.types.CompositeAdapter,androidx.room.solver.types.CompositeAdapter
android.arch.persistence.room.solver.types.CompositeTypeConverter,androidx.room.solver.types.CompositeTypeConverter
android.arch.persistence.room.solver.types.CursorValueReader,androidx.room.solver.types.CursorValueReader
android.arch.persistence.room.solver.types.CustomTypeConverterWrapper,androidx.room.solver.types.CustomTypeConverterWrapper
android.arch.persistence.room.solver.types.NoOpConverter,androidx.room.solver.types.NoOpConverter
android.arch.persistence.room.solver.types.PrimitiveBooleanToIntConverter,androidx.room.solver.types.PrimitiveBooleanToIntConverter
android.arch.persistence.room.solver.types.PrimitiveColumnTypeAdapter,androidx.room.solver.types.PrimitiveColumnTypeAdapter
android.arch.persistence.room.solver.types.StatementValueBinder,androidx.room.solver.types.StatementValueBinder
android.arch.persistence.room.solver.types.StringColumnTypeAdapter,androidx.room.solver.types.StringColumnTypeAdapter
android.arch.persistence.room.solver.types.TypeConverter,androidx.room.solver.types.TypeConverter
android.arch.persistence.room.testing.MigrationTestHelper,androidx.room.testing.MigrationTestHelper
android.arch.persistence.room.Transaction,androidx.room.Transaction
android.arch.persistence.room.TypeConverter,androidx.room.TypeConverter
android.arch.persistence.room.TypeConverters,androidx.room.TypeConverters
android.arch.persistence.room.Update,androidx.room.Update
android.arch.persistence.room.util.StringUtil,androidx.room.util.StringUtil
android.arch.persistence.room.util.TableInfo,androidx.room.util.TableInfo
android.arch.persistence.room.verifier.ColumnInfo,androidx.room.verifier.ColumnInfo
android.arch.persistence.room.verifier.DatabaseVerificaitonErrors,androidx.room.verifier.DatabaseVerificaitonErrors
android.arch.persistence.room.verifier.DatabaseVerifier,androidx.room.verifier.DatabaseVerifier
android.arch.persistence.room.verifier.QueryResultInfo,androidx.room.verifier.QueryResultInfo
android.arch.persistence.room.vo.CallType,androidx.room.vo.CallType
android.arch.persistence.room.vo.Constructor,androidx.room.vo.Constructor
android.arch.persistence.room.vo.CustomTypeConverter,androidx.room.vo.CustomTypeConverter
android.arch.persistence.room.vo.Dao,androidx.room.vo.Dao
android.arch.persistence.room.vo.DaoMethod,androidx.room.vo.DaoMethod
android.arch.persistence.room.vo.Database,androidx.room.vo.Database
android.arch.persistence.room.vo.DeletionMethod,androidx.room.vo.DeletionMethod
android.arch.persistence.room.vo.EmbeddedField,androidx.room.vo.EmbeddedField
android.arch.persistence.room.vo.Entity,androidx.room.vo.Entity
android.arch.persistence.room.vo.Field,androidx.room.vo.Field
android.arch.persistence.room.vo.FieldGetter,androidx.room.vo.FieldGetter
android.arch.persistence.room.vo.FieldSetter,androidx.room.vo.FieldSetter
